timestamp,x (g),y (g),z (g),magnitude,in_out_mouth_bool,t_sec,hils_score,cumulative_hils
49:04.1,-25.07166638,-1.737565397,-0.043271965,25.132,1,310.643396,1.72089456,1.72089456
49:06.8,-14.79020036,-0.03804751,-0.587007523,14.802,1,313.353143,0.875358335,2.596252895
49:08.0,-7.240694081,2.250602858,6.54083328,10.014,1,314.593459,0.81662497,3.412877865
49:12.6,-26.86260931,-9.573693967,12.56453226,31.163,1,319.231017,2.17189252,5.584770385
49:16.5,14.35369627,-0.839401272,6.193810606,15.656,1,323.091614,0.860354125,6.44512451
49:17.0,-10.43421159,-3.635844207,0.337584705,11.055,1,323.55634,0.60125715,7.04638166
50:59.6,11.85854957,-3.577636434,-2.773882583,12.693,1,426.2219,0.85562966,7.90201132
53:32.1,5.486670816,-3.3741318,16.7024174,17.901,1,578.668463,1.31799753,9.22000885
53:33.4,3.089117677,24.08665078,-15.66031798,28.896,1,579.937932,0.860591985,10.08060083
53:34.1,19.82236271,-0.351991294,2.059394945,19.932,1,580.687902,1.088188925,11.16878976
54:25.1,43.08239047,-1.29487811,18.87345829,47.053,1,631.670108,2.049214535,13.2180043
54:25.6,19.47777791,-3.287952176,-6.65619293,20.845,1,632.218432,1.07669496,14.29469926
54:29.3,19.8429465,9.819393131,37.13736074,43.236,1,635.915847,1.17278672,15.46748598
54:42.1,1.860333049,7.69938109,7.388231032,10.832,1,648.735059,0.29991151,15.76739749
54:42.5,-46.77446686,-5.651335135,3.497382163,47.244,1,649.099761,1.80362563,17.57102311
56:49.7,-9.480195935,5.608237797,11.33525473,15.806,1,776.27,1.28336822,18.85439134
57:46.5,-3.175819787,4.656818459,10.01007375,11.488,1,833.069441,0.297859435,19.15225077
57:58.8,4.438352976,5.511365963,18.89008584,20.172,1,845.378673,1.013068455,20.16531922
57:59.1,-8.798196934,-4.585686338,-2.668028207,10.274,1,845.669057,0.75128894,20.91660816
58:00.9,12.13025003,-1.678846874,-10.94523003,16.424,1,847.523375,0.64099608,21.55760425
58:13.3,9.093193,0.724866115,8.361637829,12.375,1,859.898997,0.79560053,22.35320478
58:45.3,0.071648651,7.311612148,-7.571931146,10.526,1,891.913262,0.509942,22.86314678
58:47.1,4.450572019,9.965137908,-1.568652027,11.026,1,893.640514,0.759312365,23.62245914
58:50.8,27.20579035,1.430493461,-3.545393763,27.473,1,897.373803,1.888137815,25.51059695
01:43.0,-9.066892183,-110.1203108,19.71998522,112.239,1,1069.573974,5.42526201,30.93585896
02:18.6,-4.662983711,26.48047687,-21.40652444,34.369,1,1105.191162,0.91221268,31.84807164
02:33.4,35.22230706,-3.692670087,10.25223075,36.869,1,1119.963659,1.62945362,33.47752526
